Token Snapshot: 0.0.7829347

Serial,Owner,Spender,Name,Image,Attributes
1028,"0.0.8142971",null,null,null,null
1027,"0.0.725455",null,null,null,null
1026,"0.0.1468174",null,null,null,null
1025,"0.0.7843266",null,null,null,null
1024,"0.0.3927125",null,null,null,null
1023,"0.0.3760539",null,null,null,null
1022,"0.0.502561",null,null,null,null
1021,"0.0.4870694",null,null,null,null
1020,"0.0.445590",null,null,null,null
1019,"0.0.7687902","0.0.1064038",null,null,null
1018,"0.0.445590",null,null,null,null
1017,"0.0.8142971",null,null,null,null
1016,"0.0.512044",null,null,null,null
1015,"0.0.634576",null,null,null,null
1014,"0.0.4904643",null,null,null,null
1013,"0.0.1704972",null,null,null,null
1012,"0.0.4870694",null,null,null,null
1011,"0.0.8117644",null,null,null,null
1010,"0.0.458059",null,null,null,null
1009,"0.0.973559",null,null,null,null
1008,"0.0.458059",null,null,null,null
1007,"0.0.634576",null,null,null,null
1006,"0.0.725455",null,null,null,null
1005,"0.0.725455",null,null,null,null
1004,"0.0.725455",null,null,null,null
1003,"0.0.7763952",null,null,null,null
1002,"0.0.725455",null,null,null,null
1001,"0.0.1708350",null,null,null,null
1000,"0.0.3760539",null,null,null,null
999,"0.0.634576",null,null,null,null
998,"0.0.7842795",null,null,null,null
997,"0.0.8117644",null,null,null,null
996,"0.0.512044",null,null,null,null
995,"0.0.973889",null,null,null,null
994,"0.0.973559",null,null,null,null
993,"0.0.725455",null,null,null,null
992,"0.0.512044",null,null,null,null
991,"0.0.1348095",null,null,null,null
990,"0.0.634576",null,null,null,null
989,"0.0.7821112",null,null,null,null
988,"0.0.1348095",null,null,null,null
987,"0.0.4641568",null,null,null,null
986,"0.0.634576",null,null,null,null
985,"0.0.973559",null,null,null,null
984,"0.0.973889",null,null,null,null
983,"0.0.7931945",null,null,null,null
982,"0.0.512044",null,null,null,null
981,"0.0.458059",null,null,null,null
980,"0.0.7807171",null,null,null,null
979,"0.0.458059",null,null,null,null
978,"0.0.1348095",null,null,null,null
977,"0.0.512044",null,null,null,null
976,"0.0.7687902",null,null,null,null
975,"0.0.4496602",null,null,null,null
974,"0.0.634576",null,null,null,null
973,"0.0.725455",null,null,null,null
972,"0.0.973889",null,null,null,null
971,"0.0.7931945",null,null,null,null
970,"0.0.4870694",null,null,null,null
969,"0.0.4641568",null,null,null,null
968,"0.0.4641568",null,null,null,null
967,"0.0.4573890",null,null,null,null
966,"0.0.4496602",null,null,null,null
965,"0.0.512044",null,null,null,null
964,"0.0.4701500","0.0.1064038",null,null,null
963,"0.0.973559",null,null,null,null
962,"0.0.458059",null,null,null,null
961,"0.0.7931945",null,null,null,null
960,"0.0.458059",null,null,null,null
959,"0.0.8142971",null,null,null,null
958,"0.0.4641568",null,null,null,null
957,"0.0.1790948",null,null,null,null
956,"0.0.725455",null,null,null,null
955,"0.0.4641568",null,null,null,null
954,"0.0.3473654",null,null,null,null
953,"0.0.681999",null,null,null,null
952,"0.0.1704972",null,null,null,null
951,"0.0.3760539",null,null,null,null
950,"0.0.4870694",null,null,null,null
949,"0.0.973559",null,null,null,null
948,"0.0.4870694",null,null,null,null
947,"0.0.4701500",null,null,null,null
946,"0.0.7763952",null,null,null,null
945,"0.0.4318040",null,null,null,null
944,"0.0.458059",null,null,null,null
943,"0.0.458059",null,null,null,null
942,"0.0.725455",null,null,null,null
941,"0.0.1468174",null,null,null,null
940,"0.0.512044",null,null,null,null
939,"0.0.1348095",null,null,null,null
938,"0.0.973889",null,null,null,null
937,"0.0.4870694",null,null,null,null
936,"0.0.1348095",null,null,null,null
935,"0.0.4870694",null,null,null,null
934,"0.0.634576",null,null,null,null
933,"0.0.973889",null,null,null,null
932,"0.0.4573890",null,null,null,null
931,"0.0.1348095",null,null,null,null
930,"0.0.973559",null,null,null,null
929,"0.0.1708350",null,null,null,null
928,"0.0.7843266",null,null,null,null
927,"0.0.502561",null,null,null,null
926,"0.0.458059",null,null,null,null
925,"0.0.4318040",null,null,null,null
924,"0.0.458059",null,null,null,null
923,"0.0.725455",null,null,null,null
922,"0.0.4641568",null,null,null,null
921,"0.0.3826476",null,null,null,null
920,"0.0.7763952",null,null,null,null
919,"0.0.634576",null,null,null,null
918,"0.0.1348095",null,null,null,null
917,"0.0.7931945",null,null,null,null
916,"0.0.458059",null,null,null,null
915,"0.0.512044",null,null,null,null
914,"0.0.725455",null,null,null,null
913,"0.0.1348095",null,null,null,null
912,"0.0.458059",null,null,null,null
911,"0.0.1348095",null,null,null,null
910,"0.0.973889",null,null,null,null
909,"0.0.725455",null,null,null,null
908,"0.0.1348095",null,null,null,null
907,"0.0.1348095",null,null,null,null
906,"0.0.4870694",null,null,null,null
905,"0.0.748039",null,null,null,null
904,"0.0.4496602",null,null,null,null
903,"0.0.4496602",null,null,null,null
902,"0.0.445590",null,null,null,null
901,"0.0.512044",null,null,null,null
900,"0.0.7763952",null,null,null,null
899,"0.0.1348095",null,null,null,null
898,"0.0.8117644",null,null,null,null
897,"0.0.634576",null,null,null,null
